respondent_idx,umap_dim1,umap_dim2,cluster,party,text
36,2.614975,8.200394,3,STAN,Lidé kteří mají selský rozum. Nevidí svět černobíle. Než něco či někoho odsoudí zjistí si fakta a poté se rozhodnou.
37,-0.48768497,6.7453723,4,ANO,"stejně jako ty, kteří mají vnímání politiky opačné"
38,2.431393,4.3730264,0,ANO,"Sociální smýšlení 
Slušné jednání 
Zaopatřený
S životem spokojený 
Nebojácný "
39,1.32089,5.1348176,0,TOP09,"Falešnici, pokrytci, hrabaji si pro sebe "
40,1.5775071,5.986009,2,ODS,"Samostatní, uvážliví, nesobečtí, pravdomluvní, zakládají si na tradičních hodnotách, snaží se být spravedliví, předvídaví, věří, že nejbližší pomocnou ruku najdou na konci svého ramene. "
41,2.0154662,5.267312,2,Pirati,"férovost - co řeknu, to platí; nesnažím se obejít opozici podvody, lží; snaha dosáhnout co největšího kompromisu; slušnost; zbytečně nestrašit, ale zase být upřímný; nedávat občanům peníze, když na rozdávání není, ale spíše je motivovat k získání peněz vlastním přičiněním"
42,-0.76317537,4.662086,1,STAN,Politika není rozhodujícím ve vztazích 
43,-1.3409234,6.403018,4,KDU-CSL,"Normální lidi, kteří nevěří všemožným laciným volebním slibům a kteří vnímají potřebu jisté rozpočtové zodpovědnosti. Nevěří slibům, že důchodová reforma není potřeba, že stačí pouze změnit ""parametry"" současného systému"
44,-1.2732764,5.165792,4,Unknown,"Všechno je uměle vyvolané,od covidu po greendeal, světu vládne mamon."
45,-1.8162553,2.8591075,1,Unknown,Nevim nechci odpovidat moc se nebavim z lidma
46,-1.2131386,5.2254195,4,KSCM," spoustu lidí už poznali pravdu, která je jiná než nám pravice vtlouká do hlav a sliby pravice se rozplývají a řada lidí ví jaká je zkušenost"
47,2.1723237,5.8318033,2,ANO,"Rodina na prvním místě, chovat se slušně k ostatním lidem, národní hrdost"
48,2.8862717,5.1366625,2,ANO,"Zlí, falešní lidé. Myslí jen na sebe, okrádají všechny."
49,1.543618,6.7564263,3,Other,"Lidé kteří jednají na základě vlastního rozhodnutí, ziskanCh informací a sami se rozjoduji"
50,-1.8400278,6.790371,4,ANO,"Příjemní, spolupracující, ochotní se dohodnout."
51,3.1343668,4.936528,2,KSCM,"Takový člověk je zodpovědný k sobě i celé společnosti pro kterou pracuje, také tak vystupuje, nepřetvařuje se a nemyslí jen na sebe."
52,3.2597313,6.955358,2,STAN,Tito lidé zažili socialismus a komunismus a dnes mohou porovnávat situaci
53,2.0473516,4.2310348,0,KSCM,"Jedná se o voliče aktivně se zabývající politickou situací ve své zemi. Zároveň respektují ale i voliče jiných stran, nijak je nezesměšňují a nemají potřebu je přesvědčovat o ""své"" straně. Respektují výsledky voleb. "
54,-2.1187117,4.8189764,1,ANO,"tito lidi si prosly hodne tezkymi vecmi a hodne premysli koho volit.Bohuzel jsou to ti lide kteri ikdyz se ozvou ,tak je nikdo neslysi...."
55,-0.8185791,7.2843413,4,Pirati,"důchodci jako já, nemocní optimisté"
56,1.630192,5.5998325,2,ANO,"ví o čem mluvím, nejsou bohatí,"
57,0.19925818,4.206675,0,ANO,"jsme v pohodě, chceme mír pohodu"
58,-0.007513234,8.607617,3,ANO,"zcela obyčejný člověk, který má zdravé názory na dění v Česku i celosvětové, orientuje se v historii naší i globální, umí vycházet z vědeckých názorů a nenechává se ovlivňovat neověřenými, zkreslenými či uměle vytvořenými názory"
59,-0.015687913,3.947129,0,ANO,"Rodinný typ, dokáže pomoci bez toho aby za to něco chtěl."
60,-0.06091929,6.144025,4,KDU-CSL,"Mají různou škálu zájmů, rádi cestuji, .myslí na budoucnost naší země a svých dětí. Mají zájem o vzdělávání. Čtou - sleduji různé zdroje ověřených informací."
61,0.22855854,6.18878,3,SPD,"jsou přesvědčeni o možnosti mírové dohody při vojenském konfliktu na Ukrajině,
vidí i jiné možnosti zlepšení ekonomiky než jen okrádat sociálně slabé skupiny,
milují svou vlast"
62,0.22394493,4.162644,0,Other,"mají jiné hodnoty, nezajímají se tolik o polituku"
64,0.97681385,4.1277175,0,ANO,Politické přesvědčení je věc každého jednotlivce!!!
65,-1.9476582,2.7601676,1,Unknown,nevim nemam tuseni z lidma se moc nebavim
66,0.48512703,6.0211105,3,ODS,Mají vyšší vzdělání jsou to podnikatelé nezávislí na dotacích cestují 
67,0.39917102,7.729465,3,Other,"Volic, který je věrný své straně. "
68,0.9910145,7.788186,3,Pirati,"Nekonfliktní, starají se o své blízké, neškodí druhym. "
69,-3.4855795,6.9882283,4,Pirati,introvert nerd nesnasi komouse
70,0.8727706,5.7876153,3,STAN,"Ověřují si informace z různých zdrojů a nevěří všemu co politici říkají. Chtějí, aby ČR dobře fungovala, aby politici byli čestní a pracovali pro dobro národa a ne ve svůj prospěch. Overuji si informace, sleduji zprávy a mají přehled o tom co se děje, aby byli schopni fundovaný rozhodovat koho volit. Nenechají si vše líbit a když jim něco vadí, tak požadují změnu a to na základě informaci a argumentů a ne na základě emocí a davu okolo."
71,-1.5863074,4.439998,1,Pirati,s ničim se neseru nic mě nerozhodí
72,1.0524964,6.5734463,3,Unknown,"Jsou to lidé, kterým se nelíbí, jak se k obyčejným lidem vláda chová. A všechno se odvíjí od peněz... Třeba uklízečka nebo pomocná síla v kuchyni mají tolik práce, že by se z toho kdejaký poslanec posral, ale z výplaty nemají možnost důstojně vyžít, musí mít i jinou práci, aby zaplatili složenky a dětem dopřáli třeba lyžařský výcvik. I v těchto domácnostech jsou velmi chytré děti, které nemůžou studovat, protože prostě nejsou bohatí, i když jejich rodiče dělají prospěšnou, dobrou a fyzicky namáhavou práci. A tito lidé se pak dívají na to, jak si poslanci navyšují už tak vysoké mzdy. To je velmi smutné! 
Dalším problémem je zdravotnictví. Čím víc jsme ´mulikulti´ tím je to horší...
"
73,0.60905427,8.501773,3,ANO,"Normální lidé, akorát se názorově na politiku shodneme"
74,0.7864357,4.250871,0,ODS,"Nejčastěji vzdělání lidé. Nedají se koupit, ani obalamutit. Dokáží mluvit kriticky i ke své vlastní volbě a hlavně diskutovat k tématu. Schopnost bavit se o hlubších tématech, odhalit fakenews, ochotu si přečíst relevantní zdroje k tématu, nebo minimálně kompletního volebního program strany, kterou chtějí volit."
75,-0.16849597,4.4021087,1,SPD,"Objektivně hodnotí současnou světovou, evropskou i domácí politiku a snaží se z pozice  vlastenců zachránit Českou republiku od toho hnusu co nás obklopuje "
76,2.768977,7.8612237,3,ANO,"Sympatický, mají rozum jako já:)"
77,1.6206708,7.0713153,3,ANO,Jsou to lidé kterým jde o to aby ve vládě a v politice byli lidé kteří chtějí zlepšovat životy našich občanů 
78,2.7541244,6.9528823,2,ANO,"Vystudovaní ekonomové, kteří mají přehled, jaký je vývoj ekonomik v ostatních evropských státech. Ti, co by považovali přijetí EUR za vlastizradu."
79,0.23682134,8.279177,3,Unknown,normální starší člověk se zkušenostmi
80,0.22818898,5.496245,0,ODS,"Snaží se starat o sebe a nespoléhat na stát.
Od státu očekávají malé, ale efektivní služby a vůbec vynakládání prostředků např. na infrastrukturní stavby.
Přísná kontrola a omezená velikost dávkového systému.
Minimální dotační podpora ze státních peněz. Kdo chce peníze, ať si je vydělá, nebo sežene soukromého sponzora."
81,0.789055,3.0474005,0,ANO,rozumím si s nimi obvykle i v jiných věcech
82,-2.509901,4.354817,1,Pirati,Normalni lide se svými probley
83,0.821658,2.8022904,0,Unknown,V tomto případě jsou mi takoví lidé sympatičtí a ráda s nimi vedu konverzace na dané témata. 
84,-2.5656075,7.2510066,4,SPD,"Střední vrstva, rodina s dětmi."
85,-1.1061546,3.2290823,1,ANO,"nevím, úplně neřeším politiku"
86,-0.7934064,6.6173897,4,ANO,"Převážně se to týká důchodců, kterým bylo za současné vlády velmi ublíženo. "
87,0.60144603,8.386937,3,ANO,Normální pracujíci lidé s průměrnou i nižší mzdou
88,-2.4465015,4.491593,1,STAN,"Lide jsou pracoviti, nechcou nic zadarmo. Chapou ze ma nekdo jiny nazor a nemusi se kvuli tomu navzajem mlatit."
89,-2.4938872,4.4141726,1,ANO,"Vetsinove politiku s temito lidmi neresim a obvykle tito lide politiku neresi verejne, nicmene znam par osob ve svem okoli, jejichz postoje jsou velmi podobne te mym a nelze je zobecnit, protoze jsou to vesmes lide velmi ruzneho spektra vzdelani, zajmu, atd. "
90,-0.011667723,4.759379,0,KSCM,nezkušenost v politice doma i v evrop
91,0.082484215,8.441455,3,Other,"Člověk, který citlivě vnímá dění okolo sebe a je zvlášť všímavý vůči nespravedlnostem a bezpráví. Obává se rizik a snaží se zajistit dobré podmínky k životu pro čestné, slušné a pracovité lidi."
92,-2.824321,5.035524,4,ANO,maji svuj nazor a mohou si ho uplatnovat
93,-3.4829628,7.071228,4,STAN,"Otevreni zmene, Evrope. Ne prehnane nacionalisticti"
94,0.25613806,6.923357,3,ANO,"Jsou tolerantní k názorům ostatních, ale ze svých zásad nesleví."
95,-2.484222,4.4496727,1,ANO,"obycejni lide, jako ostatni

"
96,0.95239586,8.432624,3,STAN,Normální lidi s názorem stejným jako já . Že ODS prostě špatně řidi náš stát a čim dál víc naš národ zadlužuje. Mnělo by ODS prostě samo začit u sebe šetřit a ne si zvyšovat výplaty když na to neni
97,-0.2637569,7.498273,3,ANO,Jsou to lidé z mého blízkého okolí žijící normálním rodinným a pracovním životem.
98,-0.742281,4.060948,1,ANO,Lidé kteri nemaji moc penez za to kolik hodin pracuji
99,-1.913039,3.6601884,1,ODS,"Nevím nic mě nenapadá, nedělám to"
100,0.9841211,2.9913523,0,Unknown,Mohu s nimi otevřeně mluvit.
101,0.044536993,8.558793,3,ODS,"Mladý člověk, který se nezajímá o politiku až v takovém měřítku a slýchává o politice z různých koutů interaktivního světa a ze sociálních sítí."
102,-0.2460365,3.1621346,1,ANO,Nemám rád když politci lžou 
103,2.3779552,6.4159923,2,ANO,chtějící srovnat stav v republice pro lepší životní podmínky
104,0.6433908,3.4173055,0,Other,"Lidé, se kterými si lze popovídat o skutečných problémech a poměrech v naší zemi bez lží. "
105,0.75040203,3.6718566,0,Unknown,Lidé novodobě smýšlející. Bez omezeného názoru a rozhodování.
106,0.108408496,4.5530267,0,Other,Nebavíme se spolu o politice
107,0.84701884,4.5399504,0,ANO,Empatie s obyčejným lidmi 
108,-0.24818851,2.4984472,1,STAN,"Zajímavé, jako já, poslech bych si je"
109,0.07097744,5.043613,0,ODS,"Jde o lidi vzdělané,sledující politickou situaci doma i ve světě.Spoléhají se na sebe jsou uspěšní v práci a nespoléhají se na stát,že jim pomůže.Dokáží poznat populisty a lháře v politice."
110,0.27452165,6.401904,3,TOP09,"Jsou ochotni naslouchat, nestěžují se, vnímají kladně naše členství v v EU a NATO, mají zájem se vzdělávat."
111,-0.5905172,4.3033624,1,Unknown,"Příliš se o politiku nezajímají. Jsou odpůrci extremismu, násilí, šíření paniky"
112,-0.011703494,8.581166,3,Unknown,"obyčejný člověk, který si na nic nehraje a nechce se nechat dál odírat rozhodnutími vlády"
114,3.169263,6.724444,2,KDU-CSL,"Tito lidé jsou vzdělaní, přemýšliví, ověřují si informace, snaží se svým životem přispívat ke společnému dobru."
115,1.3343372,5.5877795,2,STAN,"Lidi, kteří se zajímají o současné dění,. ověřují si informace, nedůvěřují populistickým vlivům, mají zkušenosti a historickou paměť, nepodléhají davové psychóze"
116,0.67323333,5.6334734,3,ODS,"Snaží se v co nejvíce ohledech vydělat si samina sebe, na pomoc státu spoléhat jen v urgentních případech - vážná nemoc, nenadálá složitá životní situace. Plní si sám povinnosti vůči státu a má o nich přehled. Zároveň je solidární, nesnaží se vyhnout placení daní a odvodů. Je proevropský, schopný kompromisů, není radikální. Nevěří všem informacím, které slyší, snaží se imformace ověřit a nečerpá je z dezinformačních zdrojů. Je ochotný se přiměřeně uskrovnit, aby pomohl ostatním/ společnosti."
117,2.8900337,5.933572,2,SPD,"Spolehliví, empatičtí, podporující, ohleduplní.. "
118,0.61372983,5.0854397,0,ODS,Od státu nic neočekávají a umí se o sebe postarat
119,2.4527283,4.9392366,2,ANO,Ze to jsou lidi vzdělaní 
120,2.676381,6.956948,2,TOP09,"Lidé, kteří mají přehled o tom, co se ve světě, republice deje, lidé vzdělaní


"
121,1.7621868,2.8631701,0,ANO,"jak jsem již psala, každý má právo na svůj názor, vyznání a volbu, nesoudim.Kazdopadne je jasné že společné zájmy a názory spojují, s člověkem který volí jinou stranu se do větší debaty nepoustim aby situace neeskalovala. Se Stejnym voličem jako já si určitě vyměním ráda názory a postezujeme si :-)"
122,2.3034093,6.4599767,2,Other,"Zastánci tradičních hodnot. Lidé toužící po svobodě, míru a spravedlnosti. Laskyplní lidé chtějící dobro pro všechny, empatičtí lidé."
123,1.8098028,2.4884257,0,KDU-CSL,"laskaví, přátelští. Nerozlišuji jestli mají stejný názor nebo ne, Je mi to jedno"
124,2.0238984,5.8279004,2,ODS,"Mají za sebou kus aktivního života, zažili potlačování osobních zájmů, jejich předci byli perzekuováni, dokáží si vážit svobody, nechtějí tadlužovat blastní děti"
125,-0.6169789,8.1756,3,Other,Vyššího věku a střední třídy.
126,0.022062855,7.0509014,3,Unknown," vlastní názor je důležitý, ale nemusí být  správný"
127,3.0637667,4.6999574,2,Unknown,se zdravým rozumem která se nenechá ovlivňovat
128,2.6246955,6.0724683,2,KDU-CSL,"Jsou empatičtí, jde jim o budoucnost, snaží se vidět vše v širších souvislostech."
129,0.3145332,5.174387,0,Other,"Anarchisté podporující volný trh. Lidé věřící tomu, že vše, co neškodí okolí by mělo být legální. Ekonomická pravice požadující nízké až žádné daně a malou až žadnou moc státu."
130,0.88032633,3.7791464,0,ODS,"Mám své favority i své neoblíbence ale v rámci mého života mě nijak neovlivňuje, co se nyní odehrává na politické scéně. Peníze mít budu, pracovat budu zbytek se uvidí. "
131,1.9708447,4.913335,2,ANO,"vyvstalé potíže řeší vlastním nasazením
spoléhají hlavně na sebe
plní bezezbytku své povinnosti pracovní, celospolečenské, etické, mravní"
132,1.5878956,7.597322,3,ANO,"Realističtější, objektivní, sledující dění kolem sebe. "
133,0.7194773,7.2775946,3,ANO,"Jsou pro podporu Ukrajiny, podporu podrážky nacistického Ruska. Ale vadí jim, že současná vláda na své občany úplně kašle, vše zdražuje, máme snad nejdražší energie v EU, sami si zvyšují platy. "
134,1.1937363,6.116814,3,Unknown,"lidé, kteří jsou vzdělání, nemusí úplně řešit existenční otázky. zajímají se o dění, ale nijak víc to neprožívají. jsou schopni dělat kompromisy "
135,-1.262046,6.0055413,4,Pirati,"Lidé kolem mě, ve věku kolem 25-35 let, lidé kteří přemýšlejí nad budoucností jak svoji tak svých dětí a není jim jedno, v čem budou jejich děti vyrůstat. "
136,1.0676363,6.6030164,3,ANO,"To jsou lidé kteří si umějí spočítat, že nemohou utratit více peněz než si vydělají. Nebo musí mít našetřeno na horší časy."
137,-0.62023205,5.384092,4,SPD,"Nepodporují migranty, nesouhlasí s energetickými opatřeními vůči Rusku a díky tomu zvyšování cen za elektriku a plyn, nesouhlasí s Green deal"
138,1.8597039,6.1695933,2,ODS,Lidi kteří v životě vědí co chtějí 
139,3.02412,6.07444,2,KSCM,Jsou empatičtí a vyrovnaní
140,1.2678581,7.620049,3,KSCM,lidé  chápající realitu života 
141,2.5180807,3.867477,0,Unknown,starší lidé mají podobné názory
142,1.5971136,6.3737597,3,ANO,umějí počítat a proto se udrží při životě
143,0.8623879,5.133086,0,ODS,"otevřeni novým výzvám, rádi cestují, poznávají nové lidi a kultury, pracují na sobě a vzdělávají se"
144,0.2227744,4.2664332,0,ANO,"Patřím ke generaci, jak se říká : starších lidí,mám s nimi přibližně stejné názory.My jsme byli
vychování: starších lidí jsme si vážili a ctili.Byli jsme vedeni ke slušnosti,ochotě a zdvořilosti.Mysleli jsme na budoucnost( na zadní kolečka).
Dnes mladí zastávají názor,že nyní žijí.Neuznávají, většina,názory jiných,nepřemýšlí
o budoucnosti a zajímají je většinou peníze a výše vzdělání.
Dospěli jsme do stádia,že máme hodně vysokošloláků a žádné řemeslníky( zedníky,malíře,
pokrývače a pod.).




"
145,3.848073,5.566772,2,Pirati,Jsou sympatičtí a empatičtí
146,2.7169821,8.152071,3,ANO,selský rozum vždy vítězil. ten kdo usiluje o degradaci vzdělání by měl být sám odstraněn
147,0.16500255,5.1098523,0,Unknown,"Apolitičtí, se strachem, že bude ještě hůř."
148,3.170222,6.927554,2,ANO,"Tito lidé sledují dění v této zemi a vidí,kam to součastná vláda směřije."
149,0.0045123557,7.205177,3,ANO,"Mají rozumný názor. Názory, které vláda ODS považuje za špatné, nemusí být špatné."
150,-1.1549596,3.645075,1,ANO,"Politiku tolik neřeším, žiju tak, abych byla šťastná a přizpůsobím se tomu, co přijde. Nějak bylo, nějak bude, nevidím důvod proč se tím stresovat."
151,2.4915228,5.641427,2,STAN,"S vlastním názorem, mimo proud společnosti "
152,1.0675328,6.6374645,3,Unknown,"Jsou to lidé, kteří třeba nemají televizi nebo ji nesledují. Nebo když už poslouchají , tak si vyslechnou všechny strany a pak si zhodnotí, co jim je nejbližší. Do politických diskuzí se moc nepouští, spíše je jenom sledují. "
153,1.0004853,6.718837,3,ANO,Jsou to lidé seriózní a přemýšlející o své budoucnosti.
154,3.3425486,5.564942,2,ANO,mají snahu pomoci a jsou rozumní 
155,-0.36159757,4.2398233,1,ODS,"Vědí, že už toho v politice moc zachránit nejde, a je důležité alespoň zkusit zabránit těm nejvíc škodlivým lidem, aby se tam dostali. Například Babiš, který dokáže v těch intelektuálně slabších lidech probudit hysterii, paniku, ovčí chování a podobné... hlavně fanatické myšlení. Je důležité chodit volit, aby se zabránilo jemu podobným, dostat se na vyšší pozice, ale vlastně nejde vybrat nikoho, kdo by dokázal něco změnit, nebo něco zlepšit. "
156,-0.4993904,6.748512,4,Pirati,"Tak, že se zajímají o politiku i společenská témata, sledují dění, chodí pravidelně k volbám."
157,2.2144973,3.4464273,0,ANO,"Známe se dlouhé roky,máme stejný vkus a poškozeni únorem 1948"
158,2.6702523,6.90705,2,ANO,"Nižšĺ a střední vzdělání, celkový přehled o politickém dění i ekonomice u nás i v dalších státech."
159,0.79108286,6.3807774,3,STAN,"pravicoví, slušní, nejsou v politice pro peníze"
160,0.44278634,6.767773,3,Other,"jsou pro svobodu slova, nevidí svět černobíle, jsou pro zrušení dotací (kromě sociálních - charita), jsou pro registraci neziskovek, které jsou finančně podporovány z ciziny, hájí zájmy obyvatel ČR a nikoliv jiných  zemí, jsou proti Green Dealu a diktátu Bruselu."
161,0.9572658,6.553645,3,ODS,"Hodně lidí z této skupiny má špatné zkušenosti z doby komunismu. Velmi často jsou to lidé kteří přemýšlí o své budoucnosti a ví, že jsou odpovědni za svou budoucnost. Překvapilo mě, že nezáleží na vzdělání, ale na ochotě hledat argumenty."
162,1.3736063,7.391928,3,Unknown,"Střední nebo nižší vrstva lidí, lidé narození před rokem 1989, lidé se smyslem pro spravedlnost, lidé kteří chtějí kompetentní politiky."
163,2.7460887,5.2906694,2,KSCM,"inteligentní  vzdělaní ,nejsou sociopati"
164,2.1529818,7.442119,3,Unknown,Jsou to lidé co uznávají hodnoty a nemají rádi extrémismus
165,2.3374074,5.0241656,2,STAN,"nespokojení se současným systémem, racionálně uvažující, mimo hlavní názorový proud"
166,-1.1588916,2.7081265,1,Unknown,"Nevim, neumím takové lidi popsat "
167,2.6752257,5.3967586,2,ANO,"Vzdělaní lidé pracující jako řadový zaměstnanci, s rodinou."
168,2.3648143,6.715222,2,SPD,znechuceni stávající politikou a očekávající změny k lepšímu pro obyčejné lidi 
169,3.2659175,7.021964,2,Other,"Tito lidé vědí, že takhle už to dál nejde, že je potřebná změna v přístupu k lidem."
170,0.4450027,5.5967565,0,ANO,"Jde o lidi, kteří jsou ochotni o různých problémech diskutovat, případně se i vyjádřit jak by to mělo vypadat, jak by se měla věc řešit. Nechtějí problémy řešit násilím, zbytečně nenálepkují."
171,-0.14891872,6.634094,3,Other,"Musí to být lidé, kteří podporují opravdovou demokracii, to jest otevřeně diskutují, ale v době kdy je uzavřena diskuse se podporují názor většiny. V současné době u nás není demokracie protože si většina obyvatel, hlavně ti mladí myslí, že demokracie je to, že si mohou za všech okolností dělat co oni chtějí. Nerespektují většinový názor. Společnost je nenaučila co je demokracie, kterou zúžila jen na možnost cestování, nakupování a spotřebě a možnosti dělat si co chci JÁ. "
172,3.4006186,5.3856406,2,KSCM,Normální a inteligentní ne idioti co volili 5ti demolici
173,-0.87403023,3.2799726,1,Unknown,"Moc se s lidma o politice nebavím, nezajímá mně to."
174,-0.20605788,2.4461873,1,ANO,"Začal bych podporou rodin s dětmi, podpora rozvoje bydlení, zrušil bych podpory flákačům a co nejrychleji se zbavil krimigrantů"
175,0.8380242,4.752979,0,Unknown,Nejsou do těchto problémů extra zainteresováni
176,-0.24353197,4.074627,1,STAN,"Tyto lidi bych popsalatak, že se  o politiku a spol.problémy zajímají proto,aby věděli,co se na politické scéně děje. .Co jednotlivé strany provádějí a jak si vede ta jejich. Nezabývají se úplně do hloubky o politiku, ale mají rádi přehled  o dění."
177,3.3749404,5.3164835,2,Other,"Zásadový , rovní, upřímní, rozumní "
178,2.2556107,4.4770885,0,Unknown,"Platí to stejné, jako u popisu opačné strany."
179,1.1250433,6.068767,3,ODS,Jsou to lidé kteří mají skvělé realistické myšlení a jsou schopni myslet do budoucna 
180,0.59839475,5.7617483,3,ANO,Znají konkrétní problémy i jsou ochotni diskutovat 
181,1.8260547,4.545266,0,ANO,"Lidi s ekonomickým rozhledem, alespoň středně vzdělaní, respektující názor druhých, schopný komunikovat s kýmkoli"
182,-1.1104853,4.3317814,1,Unknown,"nezajímají se o politiku , pro nás tady dole se nic nezmění"
183,0.92909455,6.3663697,3,ANO,"Jsou to lidé poctiví srdeční, žádní tlučhubové, pracovití"
184,1.5276582,8.889425,3,Pirati,"Nesnáší nespravedlnost, korupci, má sociální cítění."
185,-1.445017,5.7277117,4,Other,"Jsou to lidičky, kterým jde především o naši Českou republiku, které hodně štve, jak naše vláda zadlužuje tuto zemičku, lidičky, kteří nesnáší nespravedlnost a kteřým není lhostejné, co se tady děje a není jim lhostejná cenzura, která tady probíhá. Rovněž sdělovací prostředky, především Česká televize nejsou vůbec objektivní a to by si chtěli zvednout koncesionářské poplatky a za co? za to jak nám tady lžou a do televize dávají jen to, co se jim hodí a to, co po nich požaduje naše vláda a EU."
186,-1.0772853,6.274177,4,KDU-CSL,"finanční situace, nedostupnost bydlení"
187,0.72432315,3.7718167,0,SPD,lze s nimi komunikovat bez problémů
188,-3.4684303,7.0666347,4,STAN,Pracujci s mnoha zajmi min stredoskolak
189,2.466188,5.867935,2,Unknown,"Normální, přemýšlející..s vlastním názorem "
